"Geneid","PD2699_C4_1_BULK","PD2699_C4_1_YFP","PD6422_C5_YFP","PD6419_C1_BULK","PD6419_C1_YFP","PD6422_C5_BULK","PD6499_C4_BULK","PD6499_C4_YFP","PD6620_C1_BULK","PD6620_C1_YFP"
"Smek2",47.2544747632219,34.3478146189901,35.8495678013465,74.0717240646997,42.2222592299754,45.096172697052,34.5230576789602,33.3405477609265,33.6807977066573,36.2324855336911
"Ccdc104",48.965171955825,32.3748415902958,28.0397695645117,76.0983427764686,34.583122750606,43.760135536456,28.1704287581029,28.1976284524641,30.9243561389739,28.5497669994706
"Ccdc88a",13.7019715414814,9.27425368792555,14.0157513545774,19.4457876041356,12.4166978481609,14.0545464934183,9.81153918782606,9.84862656858504,10.7730556644186,9.5485987238173
"Prorsd1",10.0674440282945,8.93130094494708,10.574439651,19.3500248318656,9.25666876228966,15.9918140075183,11.350736910186,8.80841153814048,8.09414296879179,8.90053099971387
"Mtif2",50.7771473378664,24.3914126289839,26.5676169035248,44.5386959891361,30.1025413969733,35.0318180287196,25.1707885590707,23.33646818285,34.9634281569508,25.4944886947401
"Rps27a",962.738796992803,1084.2408333521,1146.28585899394,1537.01146830087,1147.71545421837,1577.13292930049,1108.41851043431,1093.46700502221,937.202674011625,1082.11143504842
"1700034F02Rik",0.40254372654254,0.247638732683664,0.228857437857391,0.490282707652218,0.121498523541128,0.133279283319809,0.193262774998607,0.29378859209998,0.461894028110401,0.069905993826645
"Rtn4",208.856910493242,119.95972801406,140.98002230047,188.282443980548,136.372790045978,171.788189462052,115.59844643101,114.362073670216,166.008686240669,121.733369619894
"Eml6",0.412098446360139,0.862195776363272,0.556990286567523,0.88664639260172,0.689970266421366,0.628151671756741,0.543527636023309,0.643517004614046,0.915975492213984,0.630134474056184
"4931440F15Rik",0,0,0,0,0.0162171211934859,0.0127068345428825,0.0515918342543624,0,0.143853984116241,0.077756361490134
"Sptbn1",145.48120138147,164.576209230204,127.956334825773,117.399285013888,164.483706599979,96.2788907938947,155.399038703447,155.95840332201,173.943042415443,161.939676133003
"4930505A04Rik",0,0.146240711057785,0.216239352094443,0.361914768993276,0.114799686026968,0.0449753257225917,0,0,0.218213719226211,0.0550430978418808
"Acyp2",11.1419424161123,16.2286869554997,12.8180629352555,10.3774070870799,11.9483205259439,11.6560493936791,13.467621603815,17.8897987763177,14.0380907301512,13.05120248382
"Psme4",48.664951346657,45.1573813171428,43.640186070488,63.732280695646,49.3942043994604,49.7650373357529,40.4187103593834,43.0875037386694,43.6469780450099,43.169356625493
"Gpr75",0.107504405311363,0.115736360137279,0.0342267968321971,0.137483023128863,0.236219408705389,0.142375688889108,0.144517167478424,0.241656701270466,0.13815721443138,0.156821967670656
"Erlec1",36.9667761770235,34.1948877719736,41.6782667242013,75.0055695339764,43.3130263561902,69.0280040240919,32.3011596546729,28.5118010472237,45.8736015146619,33.5796699366281
"Asb3",12.5651148927922,10.1506924559024,11.9392619014936,20.2627381982716,12.6275205029431,20.8204379961375,8.53724076026405,8.698374208487,13.5399639270776,10.0724602143832
"Chac2",20.6264687246136,11.5613303103759,22.8940157413243,42.9555767234339,18.4312711272778,33.3318641386858,12.1468855728981,12.0844893399559,15.199374268392,12.9970929260299
"Stc2",7.18306902683322,4.90391676093103,7.75319985932598,2.9126771425393,5.06370338463907,9.11860305817354,5.69947337066443,6.05052116351362,13.2838970739213,9.14366240502184
"Bod1",94.2383616959411,72.0264186835155,73.6170062444206,69.3420436854307,73.6586965489547,68.3379543535621,69.5766667182039,73.1211935635033,86.862653213144,76.2633506118782
"Cpeb4",11.4129503784012,14.2176712058882,11.7659647463153,15.89873421834,16.2361861309443,9.23093271561974,14.1733836841106,14.3545334828193,12.6882342796902,14.3803664247154
"4930524B15Rik",0,0,0,0,0,0,0,0,0,0
"Nsg2",0.336115422901261,0,0,0.149251520873286,0.0946854298483689,0.148380477194462,0.188265342564403,0,0.149983422710838,0.136196697736263
"Il9r",0.0407165096979655,0.241088664130422,0,0.0867844877041556,0.154845655569428,0.242656893480606,0.0273674117545013,0.291218179920233,0.0872100627713309,0.0989919614460264
"Snrnp25",38.4353574545144,26.2578536335876,25.4834957606492,25.5906801200414,25.4625565627424,26.4513837250086,29.3362207246383,27.1584954273963,31.2960962099371,24.2947134675296
"Rhbdf1",54.3604749444886,76.9337350776135,61.898422567252,37.7258280465396,66.9692503222734,44.1784253867618,68.9957312865644,75.6160255625226,67.9006747627392,72.2059065735239
"Mpg",25.4902617309365,25.2328080748486,26.3065395173347,22.3692363379769,26.5322139682959,20.8845309071725,28.9424572717971,23.9113609128938,24.9080435384188,25.7054421253838
"Nprl3",20.6163370434413,30.255283550664,26.1686029396675,19.6584101637971,26.5245021541909,20.3879404546658,27.42261924488,30.3502262842664,25.9427155186861,30.6676327192214
"Hba-x",0,0,0,0,0,0,0,0,0,0
"Hba-a1",0,0,0,0,0,0,0,0,0,0
"Hba-a2",0,0,0,0,0,0,0,0,0,0
"Hbq1b",0,0,0,0,0.141964852372922,0.834268241177754,0.112908867211753,0,0,0.204204006031041
"Hbq1a",0,0.223961353855052,0.165580629708079,0,0,0.344388876600971,0.419482612621148,0,0,0
"Sh3pxd2b",57.6351946576001,52.7658012318057,62.7892798444039,47.2337244024318,60.7604601678492,49.4837511347729,49.8643963637282,52.8346882004594,60.2211533804628,52.7714220903264
"Ubtd2",22.5028277928303,17.6898445875102,19.7580506285832,35.9503595400379,22.1870649788021,26.6736908688538,15.5429929526089,18.0383482462126,23.5666498550867,17.3130693714893
"Efcab9",0.40955394044303,0.352731832407956,0.130392047384198,1.13481749599587,0.346120305003082,0.162720376636496,0,0.585853522316714,0.964938980063756,0.331909162345109
"Stk10",11.6288615063393,12.8393031137885,12.3017301428063,13.5281072482456,12.0674881864688,9.16838815218179,11.2707665524468,12.843623001075,13.780126828657,12.4150775927707
"Fbxw11",73.0671426322845,50.0761475635297,49.048365144341,47.1937025663597,51.4421442972009,48.7389111705676,47.0670388688041,46.1797461393587,57.6951471959963,48.156047566599
"1700008A04Rik",0,0,0,0,0,0,0,0,0,0
"Fgf18",5.90618303716497,6.85713933185698,20.9238976755902,8.63925577596852,11.6955486582544,16.8325856154852,9.10721882295278,8.46043452023957,11.2240958345464,11.3561266837834
"Npm1",3566.02787767936,984.545583374014,757.47336022815,1552.61330567857,909.102589306344,1117.97978760976,738.226565350018,729.025532404601,988.481898093589,741.258798591116
"Tlx3",0,0,0,0.0874076139213527,0,0,0,0,0,0.0664684928247255
"Ranbp17",2.31105671758672,3.59681396998881,2.21934980770661,3.82825078517277,3.51347399733176,1.63847035781673,4.11979671582395,3.22119045398546,2.93234682673367,3.11474387128035
"Gabrp",25.3792335868134,15.816178121604,40.1567354733616,177.08169661222,72.1798650906527,73.4633552107797,16.9941614527738,20.3342459943371,14.8719080748047,14.2189075614102
"Kcnip1",0.160855530814823,0.296867573654246,0.256062510024052,0.416321122342302,0.446664835446918,0.456497911046789,0.185345645956967,0.11739723367565,0.270705266170044,0.0558685429814261
"Kcnmb1",0.630055904366369,0.565251076945534,0.334324213183266,0.415666198390081,0.291590654276952,0.586086055709276,0.645316773061251,0.260572522768715,0.819343537447989,0.838855233944136
"Lcp2",7.16827044361799,9.11110642705072,12.0980685899613,29.7574365616693,7.5645895261722,20.2419191104971,8.8542405223152,9.14574943767158,9.68643834299147,8.31852790637564
"Foxi1",0.0266888591605611,0,0,0,0,0,0,0,0,0.129774508505709
"Dock2",4.98615670348895,6.22348164896521,8.95433105755665,14.9617468426697,7.30844355333516,10.0703680710208,6.95420050791117,9.12263854792005,8.02651612324092,8.06909698831589
"Fam196b",0.0701831031062676,0.0251857489719701,0.0744819961598805,0.0747952697044379,0.00988546914680183,0,0.0786220747294647,0,0,0.0568775261631796
"Spdl1",16.1694506389317,9.7008280442714,7.6900658033188,17.0186454917436,9.47669121306286,8.93369443113194,6.72954842027021,7.08422615241246,10.8295440736833,7.48509377325893
"Slit3",11.3428078796022,15.7448059385698,12.0309109100383,11.753174878966,12.8061048876911,18.9607997237922,16.0763604630396,16.3437251760472,17.6825471939695,14.7669415762447
"Pank3",33.9761389124176,27.0820819851461,29.5347282074004,40.436174488688,30.8981055830425,36.2190297886305,22.854103804489,22.7049916101654,24.7022473196922,24.8594509642156
"Fbll1",0,0,0,0,0.211673839684277,0,0,0,0,0
"Rars",135.674938377826,105.786900095948,96.8663000982428,146.947416376155,107.285990011665,140.385382320892,92.1444443772687,91.3941706110971,104.917859348436,94.1363538642582
"Wwc1",78.2524274394251,114.726720121732,93.4338277418935,85.1116545277431,114.085867466416,52.3948977450781,109.168399097969,111.480540588606,105.784832756309,106.683154084156
"Tenm2",0,0.0138912156221453,0,0.00687556297635614,0.0272616835014751,0.00427214790443595,0.0086728109133694,0,0,0.0104569450613555
"Mat2b",91.400359660811,73.9266871731218,72.8598769111396,101.054040546891,72.0001972361565,94.0931418646502,64.0338288478998,67.7464393143819,82.2110684225322,64.6018997644881
"Hmmr",26.0034314337293,11.9581858901492,12.0861168274299,35.9233233913867,13.2398002740351,21.3112834614874,11.3283883888746,10.6113301918442,9.97033387539281,11.3693388988933
"Nudcd2",93.6108902905583,56.0258479418398,58.2459322226301,96.0429623858375,58.1657117053774,84.8403932275464,46.2872790812207,48.6054153211454,59.3447329112857,51.3915964541492
