cell_type	gene
Eosinophils	THBS1
Eosinophils	HIST1H1C
Eosinophils	CYSLTR2
Eosinophils	HRH4
Eosinophils	RNASE2
Eosinophils	CAT
Eosinophils	LRP5L
Eosinophils	SYNJ1
Eosinophils	SYNJ1
Eosinophils	THBS4
Eosinophils	GPR44
Eosinophils	KBTBD11
Eosinophils	HES1
Eosinophils	ABHD2
Eosinophils	TIPARP
Eosinophils	SMPD3
Eosinophils	MYO15B
Eosinophils	TGIF1
Eosinophils	RRP12
Eosinophils	ACACB
Eosinophils	IGSF2
Eosinophils	HES1
Eosinophils	RCOR3
Eosinophils	EPN2
Eosinophils	C9orf156
Eosinophils	SIAH1
Eosinophils	ACACB
Macrophages	MARCO
Macrophages	CXCL5
Macrophages	SCG5
Macrophages	SULT1C2
Macrophages	SULT1C2
Macrophages	MSR1
Macrophages	CTSK
Macrophages	PTGDS
Macrophages	COLEC12
Macrophages	GPC4
Macrophages	MSR1
Macrophages	PCOLCE2
Macrophages	CHIT1
Macrophages	PTGDS
Macrophages	KAL1
Macrophages	CLEC5A
Macrophages	GPC4
Macrophages	ME1
Macrophages	DNASE2B
Macrophages	CCL7
Macrophages	FN1
Macrophages	CD163
Macrophages	GM2A
Macrophages	SCARB2
Macrophages	BCAT1
Macrophages	BCAT1
Macrophages	RAI14
Macrophages	MSR1
Macrophages	COL8A2
Macrophages	CD163
Macrophages	APOE
Macrophages	CHI3L1
Macrophages	ATG7
Macrophages	CD84
Macrophages	FDX1
Macrophages	MS4A4A
Macrophages	SGMS1
Macrophages	EMP1
Macrophages	CYBB
Macrophages	CD68
Mast_cells	PRG2
Mast_cells	CTSG
Mast_cells	TPSAB1
Mast_cells	SLC18A2
Mast_cells	TPSAB1
Mast_cells	MS4A2
Mast_cells	CPA3
Mast_cells	TPSB2
Mast_cells	TPSAB1
Mast_cells	NM_003293
Mast_cells	TPSAB1
Mast_cells	MS4A2
Mast_cells	TPSAB1
Mast_cells	GATA2
Mast_cells	HDC
Mast_cells	LOH11CR2A
Mast_cells	SIGLEC6
Mast_cells	ELA2
Mast_cells	LOH11CR2A
Mast_cells	CMA1
Mast_cells	SIGLEC6
Mast_cells	PGDS
Mast_cells	MLPH
Mast_cells	ADCYAP1
Mast_cells	SIGLEC6
Mast_cells	SLC24A3
Mast_cells	CALB2
Mast_cells	SLC24A3
Mast_cells	KIT
Mast_cells	TAL1
Mast_cells	ABCC4
Mast_cells	PPM1H
Mast_cells	MAOB
Mast_cells	HPGD
Mast_cells	SCG2
Mast_cells	PTGS1
Mast_cells	CEACAM8
Mast_cells	MPO
Mast_cells	NR0B1
Mast_cells	LOC339524
Neutrophils	CSF3R
Neutrophils	CYP4F3
Neutrophils	VNN3
Neutrophils	FPRL1
Neutrophils	KCNJ15
Neutrophils	MME
Neutrophils	IL8RA
Neutrophils	IL8RB
Neutrophils	MME
Neutrophils	FCGR3B
Neutrophils	DYSF
Neutrophils	KCNJ15
Neutrophils	FCAR
Neutrophils	FCAR
Neutrophils	CEACAM3
Neutrophils	FPRL1
Neutrophils	HIST1H2BC
Neutrophils	HPSE
Neutrophils	FLJ11151
Neutrophils	CREB5
Neutrophils	S100A12
Neutrophils	FCGR3B
Neutrophils	TNFRSF10C
Neutrophils	SLC22A4
Neutrophils	KIAA0329
Neutrophils	SLC25A37
Neutrophils	BST1
Neutrophils	FCAR
Neutrophils	CEACAM3
Neutrophils	CRISPLD2
Neutrophils	TNFRSF10C
Neutrophils	G0S2
Neutrophils	SIGLEC5
Neutrophils	CD93
Neutrophils	MGAM
Neutrophils	ALPL
Neutrophils	FPR1
Neutrophils	CD93
Neutrophils	PDE4B
Neutrophils	LILRB2
Lymph_vessels	PDPN
Lymph_vessels	VEGFC
Lymph_vessels	FIGF
Blood_vessels	CDH5
