"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GSE45365_NK_CELL_VS_CD8_TCELL_UP",0.248998968902467,0.000246788996873193,3.21996819208156,0.00755641283058306,0.0401570363088112,-2.64361530043778
"GSE411_UNSTIM_VS_100MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN",0.248425314668144,0.00600586219615639,3.46888109924626,0.00479237864873085,0.0302833576869218,-2.19849661499282
"GSE17721_POLYIC_VS_CPG_2H_BMDC_DN",0.248344161007055,0.0118720617962371,3.41097561917383,0.00532633759891906,0.0321321804587013,-2.3019893672521
"GSE17721_CTRL_VS_LPS_8H_BMDC_DN",0.247939533109474,-0.0104974866515245,3.32973557179908,0.00617925534560678,0.0349249791691372,-2.44727993170234
"GSE17721_CTRL_VS_POLYIC_24H_BMDC_UP",0.247177001861683,0.00735914127022314,3.14934926924905,0.00860271149854617,0.0437649305745199,-2.76984420337094
"GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP",0.246314025259125,0.00606773409141369,3.09839375682461,0.00944734911723119,0.0469718436823625,-2.86083911351534
"GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP",0.245834778830371,0.0194913779742258,3.33777810635127,0.00608896255127326,0.0346133026679451,-2.43289385165292
"GSE9037_WT_VS_IRAK4_KO_LPS_4H_STIM_BMDM_DN",0.245698932430187,-0.0045298376365592,3.04635715297776,0.0103960861594054,0.0499841668490985,-2.95365852819031
"GSE13306_TREG_VS_TCONV_SPLEEN_DN",0.244973050845117,-0.00894556546576121,3.37254085537087,0.00571383650534789,0.0332590339952866,-2.37071730238801
"GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_DN",0.243822111007743,0.00984494133776916,3.05957710788981,0.0101463509493545,0.0492851663262763,-2.93008941833857
"GSE18804_BRAIN_VS_COLON_TUMORAL_MACROPHAGE_UP",0.243710825485125,0.000518350028438468,3.19216445070544,0.00795209232739516,0.0415839181420237,-2.69332646481636
"GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP",0.243453852492788,-0.00160832619735073,3.40026406056422,0.00543156459546194,0.032469426636921,-2.32114123211675
"GSE22886_CTRL_VS_LPS_24H_DC_UP",0.24223461811379,0.0101887728596082,3.1896811285178,0.00798843521241037,0.041714529855159,-2.69776575354957
"GSE3720_UNSTIM_VS_PMA_STIM_VD2_GAMMADELTA_TCELL_DN",0.242230058356742,0.0231813559770066,3.41255571013386,0.00531099179606416,0.0321321804587013,-2.29916439098276
"GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN",0.2410556649841,-0.00311977575092685,3.22187908814162,0.00752996052168629,0.0400939537285854,-2.64019826542419
"GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN",0.241042350576486,0.0198877079177421,3.05694966294021,0.010195501291157,0.0493500680492817,-2.93477442015346
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_DN",0.240679378654588,0.024681983519942,3.1810430554402,0.00811616251458602,0.0421106962418137,-2.71320648941401
"GSE17721_LPS_VS_PAM3CSK4_6H_BMDC_UP",0.239619423410163,0.0109248731197799,3.43091543846453,0.00513594731324265,0.0315540167845122,-2.26634327421065
"GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP",0.238279759435328,0.0205466230040217,3.14915423950557,0.00860579480977829,0.0437649305745199,-2.77019264307737
"GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.235535964638995,0.0117967512089961,3.2177770154086,0.00758686064676754,0.0402649074848055,-2.64753345939311
"GSE40685_NAIVE_CD4_TCELL_VS_TREG_DN",0.23524834970025,-0.0086290681379879,3.06712646709176,0.0100064485453815,0.0488491155441871,-2.91662632541011
"GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP",0.23502004693962,-0.00180882670042906,3.26052314052493,0.00701465622495683,0.0380996712686619,-2.57108551797632
"GSE17721_LPS_VS_CPG_24H_BMDC_DN",0.23490718609792,0.0190461645274191,3.27341991289524,0.00685074479855675,0.0376073546104755,-2.54801718485159
"GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_UP",0.233121196330649,0.00429970939973735,3.16217757851541,0.00840232950869904,0.0431815921586305,-2.7469228118746
"GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_DN",0.232991217344914,0.00272277983074143,3.39198907546275,0.00551430168775923,0.0327072473196025,-2.3359378600177
"GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_DN",0.229245257299231,0.013365953694948,3.07327077838484,0.00989401527606882,0.0484865663039989,-2.90566697302548
"GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_DN",0.229091835369316,0.00963409525156583,3.24385029651187,0.00723245848910985,0.038892425782498,-2.60090605399996
"GSE27786_LSK_VS_CD8_TCELL_DN",0.227775786625642,0.00306165678900101,3.40836521187655,0.00535178872724987,0.0322298080088521,-2.30665649799387
"GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_DN",0.226501041625718,0.0223595279198228,3.1310052734242,0.00889764770383107,0.0450148905639304,-2.80261249261158
"GSE37301_MULTIPOTENT_PROGENITOR_VS_PRO_BCELL_DN",0.224790888568192,-0.00639088288078327,3.28787210043073,0.00667166790772952,0.0369788009629786,-2.52216560012052
"GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_DN",0.220091782430121,0.0127434119336876,3.06292936613279,0.0100839871020205,0.049080105055988,-2.92411152357533
"GSE9960_GRAM_NEG_VS_GRAM_POS_SEPSIS_PBMC_DN",0.214235448208795,0.00968562269413498,3.05549201523227,0.0102228718140625,0.0493615772825695,-2.93737341111
"GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP",0.213164169378461,0.0184304079406821,3.09892357258644,0.00943815096465766,0.0469718436823625,-2.85989346379117
"GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_UP",0.212820058099023,0.0126565382266491,3.06865792537905,0.00997830525037211,0.0487605849346168,-2.91389488769137
"GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_DN",0.208958165032391,0.00315982236970623,3.07215108609668,0.00991440927915515,0.0484969899679155,-2.90766424885709
"GSE5503_LIVER_DC_VS_MLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP",-0.228262054298164,-0.00734162886484199,-3.35831336794398,0.00586444297554978,0.0337725368521023,-2.39616326850906
"GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_DN",-0.231413834046091,0.00426428376637971,-3.19840794014424,0.00786145589022748,0.0412917505444958,-2.68216478813321
"GSE25087_TREG_VS_TCONV_ADULT_DN",-0.233319577770378,0.0196371461047274,-3.05834811347849,0.0101693114720438,0.0493474955097583,-2.93228088166718
"GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP",-0.248687330735685,0.0327793834662152,-3.32746197323143,0.00620502635933302,0.0349894541929056,-2.45134688381134
"GSE27786_NKCELL_VS_ERYTHROBLAST_DN",-0.253336937684091,-0.0110490673418059,-3.34531424888768,0.00600557054562431,0.0342612877029059,-2.41941390845368
"GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN",-0.262046850569363,0.0432741654809148,-3.48226887259666,0.00467689227403534,0.0299416118878783,-2.17458069944352
"GSE4590_PRE_BCELL_VS_LARGE_PRE_BCELL_DN",-0.26329270300108,0.00949234331166507,-3.53398316104449,0.00425682012105587,0.0285271356668283,-2.08224984387607
"GSE14350_TREG_VS_TEFF_DN",-0.275791366815304,0.0236887978955693,-3.38121664138288,0.00562393326078747,0.0330159821232652,-2.35520170225987
"GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN",-0.28114323012255,0.00499916591011982,-3.64943461010084,0.00345260792373344,0.0247733517001904,-1.87650103934719
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP",-0.283060509997796,0.0415765688691092,-3.11964663780945,0.00908535712011235,0.0457271279846977,-2.82289722283284
"GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_UP",-0.284592304019101,0.0251376536336109,-3.54452416254271,0.00417603654360161,0.0281795706931123,-2.06344116453578
"GSE3920_UNTREATED_VS_IFNG_TREATED_FIBROBLAST_UP",-0.289571025526841,0.0266537636390278,-3.07452495497418,0.00987122182084916,0.0484804362007834,-2.90342974127091
"GSE45365_WT_VS_IFNAR_KO_CD11B_DC_UP",-0.289604912823636,-0.0142470033873255,-3.12869350452263,0.00893553216156899,0.0451596604680126,-2.80674129958742
"GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP",-0.293053959447526,0.0303950604020328,-3.50169642127764,0.00451433258033135,0.0294327998682498,-2.13988458222302
"GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP",-0.294524820450883,-0.00306913155820281,-3.65124123474055,0.00344134218196454,0.0247654639741968,-1.87328638475073
"GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_DN",-0.29612399144368,0.00420838122681381,-3.50546852537137,0.00448344412712975,0.0293199191776861,-2.13314924203205
"GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_UP",-0.305107783811045,0.0246448191290251,-3.73242683651595,0.00297212294691774,0.0226962115946445,-1.72901420983021
"GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_UP",-0.31305420473568,0.0240755200958712,-3.17398180544388,0.00822210371761772,0.0425697017133194,-2.72582735792112
"GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_UP",-0.323737879593461,-0.00227320022207254,-3.38588181187304,0.0055761860808523,0.0329184987715512,-2.34685899967162
"GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN",-0.326532329670208,-0.0143728529344283,-3.18327938403633,0.00808289850191,0.0419828160994728,-2.70920916421867
"GSE45837_WT_VS_GFI1_KO_PDC_DN",-0.343247831225956,0.0433859940859556,-3.46266641496047,0.00484697229462329,0.0305490931686994,-2.2096001744639
"GSE27092_WT_VS_HDAC7_PHOSPHO_DEFICIENT_CD8_TCELL_UP",-0.345787462040066,0.0325390017063503,-3.09319720112029,0.0095380459415185,0.0473211403534401,-2.87011367289493
"GSE6875_TCONV_VS_TREG_DN",-0.350174430327769,0.00793911170355721,-4.40754987728148,0.000901572989778383,0.0118018443212834,-0.550263323386026
"GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN",-0.350600497892921,0.0139101197429479,-3.3932720981816,0.00550138995428946,0.0326863071430466,-2.33364359943622
"GSE46143_CTRL_VS_LMP2A_TRANSDUCED_CD10_POS_GC_BCELL_UP",-0.357767658585541,0.0327047022896841,-3.38114751079246,0.00562464391673032,0.0330159821232652,-2.3553253303201
"GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_UP",-0.358625798569807,-0.00300480991443737,-3.44674969651451,0.00498970390281285,0.0310489350755976,-2.23804246972273
"GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP",-0.360171060465541,0.0211787391711796,-3.87914075439279,0.00228391841329149,0.0196247804401342,-1.46937513397104
"GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP",-0.361967479036795,0.0121125618741181,-3.97477332429847,0.00192582263684913,0.0181131426384729,-1.30102189601434
"GSE6259_33D1_POS_DC_VS_CD8_TCELL_UP",-0.36571511016786,-0.0130397085257442,-3.71784957134876,0.00305125983290113,0.0231914787923468,-1.75489063833098
"GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP",-0.366220226361045,0.0191869925016533,-3.26296097186967,0.00698337112383581,0.0380996712686619,-2.56672508214027
"GSE19888_ADENOSINE_A3R_INH_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN",-0.371393541893,0.03273430460388,-4.14833391975198,0.00141673549311019,0.0151167380392217,-0.997587328515083
