sample_id,primary,yfp_bulk,moffitt_tumor_type,bailey_type,moffitt_stromal_type,gsva_aDC,gsva_B_cells,gsva_blood_vessels,gsva_CD8_T_cells,gsva_Cytotoxic_cells,gsva_DC,gsva_Eosinophils,gsva_iDC,gsva_Lymph_vessels,gsva_Macrophages,gsva_Mast_cells,gsva_Neutrophils,gsva_NK_CD56bright_cells,gsva_NK_CD56dim_cells,gsva_NK_cells,gsva_helper_T_cells,gsva_Tcm,gsva_Tem,gsva_Tfh,gsva_Tgd,gsva_Th1_cells,gsva_Th17_cells,gsva_Th2_cells,gsva_Treg,gsva_MDSC,gsva_CYT_index,gsva_Immune_suppression_index,flow_CD4_T_cells,flow_CD8_T_cells,flow_gMDSCs,flow_DCs,flow_CD4_CD8_null_T_cells,flow_F480_macrophages,flow_B_cells
PD2838_C3_YFP,PD2838,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6419_C5_BULK,PD6419,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.341991342,0.056305738,0.610451306,0.177072729,-0.428855348,0.140060599,0.086828634,-0.003538876,0.011076605,0.109054858,0.06189805,0.458449516,0.360273917,-0.399542717,0.159090909,-0.196724865,-0.181407915,-0.404171277,0.107952095,0.218452381,-0.183107477,0.774794316,0.289293439,-0.885985748,-0.510688836,-0.595238095,-0.213847719,1.96,0.35,71.8,0.25,0.555,9.95,1.04
PD6421_C2_YFP,PD6421,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6499_C3_YFP,PD6499,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6555_C3_YFP,PD6555,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6556_C3_BULK,PD6556,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,0.131662079,0.018439074,-0.220902613,0.397842932,0.022673693,-0.654490088,0.498486036,-0.279614956,-0.631683168,-0.149635798,-0.248799156,-0.231804383,0.235813139,-0.415375346,0.095649986,0.281848119,0.254347321,-0.371950535,-0.040696947,-0.645434688,0.138196121,-0.614285714,0.443385395,-0.520190024,-0.140142518,-0.197619048,-0.000667907,4.32,0.43,57.28,0.73,0.58,17.98,4.65
PD6883_C4_YFP,PD6883,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD7160_C2_BULK,PD7160,BULK,Basal_like,Squamous,Activated Stroma,0.641472965,0.077441407,0.135391924,-0.114719755,0.238458313,0.451540691,-0.376551733,0.142748899,0.216666667,0.000128245,-0.496126466,-0.146501224,0.103395813,0.188248668,0.044400255,-0.350990832,-0.414978433,0.411609198,0.19390105,0.544493392,0.087879185,0.083333333,-0.516520633,0.976247031,0.605700713,0.136630037,0.326908673,22.45,3.99,19.03,2.96,7.583,7.99,2.15
PD2838_C3_BULK,PD2838,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.350290989,0.171137956,0.558194774,-0.105857741,-0.393881558,0.136888777,0.216513154,-0.258458763,-0.6,0.090836433,0.189220903,0.348756855,0.340806197,-0.525935008,0.204437865,-0.168927612,0.174965441,-0.061661693,0.092536076,0.183415435,-0.025994624,-0.884453782,0.250599877,-0.881235154,-0.496437055,-0.580952381,-0.300451047,11.43,6.45,30.35,2.19,0.698,13.33,2.65
PD6422_C1_BULK,PD6422,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,-0.241728117,0.037474132,0.653206651,-0.028329011,-0.435988952,-0.524903924,0.374815313,0.183613857,0.278165313,0.258962169,-0.036732192,-0.223595828,0.069711538,0.632935026,0.238671115,0.330300668,-0.240589164,-0.069948263,-0.110950219,0.218207283,-0.315064608,-0.765608466,0.253018065,-0.833729216,-0.420427553,-0.497619048,-0.021815949,4.5,0.51,62.38,0.63,1.158,9.25,2.16
PD6422_C1_YFP,PD6422,YFP,Classical,Pancreatic_Progenitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD6694_C2_BULK,PD6694,BULK,Classical,Pancreatic_Progenitor,Normal Stroma,0.230578616,0.097788671,-0.629453682,0.220534515,0.118510199,-0.514892805,0.287427127,-0.361249857,0.716666667,0.244012685,-0.012632879,-0.019629068,0.012019231,0.376379351,0.353503837,-0.100939278,-0.08920649,-0.496205615,-0.279572186,-0.985915493,0.174164961,0.811960133,-0.06925693,-0.90023753,0.567695962,-0.595238095,-0.36819364,2.2,0.21,36.43,0.68,1.493,7.02,2.49
